plz,x,z,power_kw,year
33034,-0.311034,-0.187974,5600.0,2025
33034,-0.309413,-0.185513,5600.0,2025
23843,-0.024629,-0.879911,15.0,2017
99510,0.250814,0.051371,4200.0,2025
23714,0.034559,-1.012242,300.0,1990
27478,-0.415656,-0.879592,30.0,2025
25923,-0.373667,-1.237583,4800.0,2025
15345,0.829107,-0.487353,6000.0,2025
27809,-0.441403,-0.666623,4200.0,2025
64372,-0.4092,0.448201,2.0,2025
03149,0.988876,-0.188809,6200.0,2025
03149,0.990497,-0.186348,6200.0,2025
38302,0.026305,-0.337387,6200.0,2025
19386,0.376594,-0.76861,5700.0,2025
19386,0.378215,-0.766149,5700.0,2025
19386,0.373214,-0.769021,5700.0,2025
19386,0.379891,-0.772129,5700.0,2025
19386,0.375761,-0.762036,5700.0,2025
19386,0.373712,-0.774904,5700.0,2025
19386,0.38227,-0.766494,5700.0,2025
19386,0.370964,-0.764532,5700.0,2025
19386,0.378915,-0.77748,5700.0,2025
19386,0.379348,-0.759359,5700.0,2025
19386,0.369718,-0.77307,5700.0,2025
19386,0.384183,-0.771938,5700.0,2025
14913,0.634267,-0.262224,6800.0,2025
16945,0.428901,-0.716775,6800.0,2025
16945,0.430521,-0.714314,6800.0,2025
16945,0.425521,-0.717186,6800.0,2025
16845,0.474877,-0.565157,6800.0,2025
16845,0.476498,-0.562696,6800.0,2025
49453,-0.475533,-0.476483,4800.0,2025
25593,-0.211589,-0.968231,6800.0,2025
25593,-0.209968,-0.96577,4800.0,2025
34497,-0.383159,-0.036586,5700.0,2025
97286,-0.10604,0.486596,4260.0,2025
14913,0.635888,-0.259763,6800.0,2025
14913,0.630887,-0.262636,6800.0,2025
59519,-0.559436,-0.10381,4260.0,2025
38173,0.043681,-0.350895,6200.0,2025
31609,-0.30471,-0.518403,6000.0,2025
31609,-0.303089,-0.515942,6000.0,2025
31609,-0.30809,-0.518815,6000.0,2025
27333,-0.31773,-0.538915,6000.0,2025
06901,0.528862,-0.206783,4200.0,2025
91722,0.038925,0.674332,9.0,2013
88374,-0.238581,1.075038,7200.0,2025
32676,-0.284557,-0.241936,5560.0,2025
38302,0.027926,-0.334926,6200.0,2025
77955,-0.623471,0.969421,5560.0,2025
77955,-0.62185,0.971882,5560.0,2025
66885,-0.718868,0.539059,6200.0,2025
17337,0.803642,-0.762776,6000.0,2025
17337,0.805263,-0.760316,6000.0,2025
17337,0.800262,-0.763188,6000.0,2025
34497,-0.381538,-0.034125,5700.0,2025
34497,-0.386539,-0.036997,5700.0,2025
32676,-0.282937,-0.239476,5560.0,2025
26434,-0.605757,-0.836079,5700.0,2025
26434,-0.604136,-0.833618,5700.0,2025
15306,0.936959,-0.443667,4200.0,2025
15306,0.93858,-0.441206,4200.0,2025
15306,0.933579,-0.444079,4200.0,2025
97286,-0.104419,0.489057,4260.0,2025
74586,-0.112459,0.697499,4260.0,2025
15848,0.886228,-0.329125,6800.0,2025
15848,0.887849,-0.326664,6800.0,2025
15848,0.882848,-0.329536,6800.0,2025
31535,-0.243426,-0.466291,5700.0,2025
23715,0.01014,-0.978441,6000.0,2025
38477,0.074075,-0.445599,5700.0,2025
38477,0.075696,-0.443138,5700.0,2025
33100,-0.388861,-0.185664,5560.0,2025
88374,-0.23696,1.077499,7200.0,2025
33165,-0.373167,-0.152106,4200.0,2025
33165,-0.371546,-0.149645,4200.0,2025
38476,0.076761,-0.452684,3900.0,2025
35327,-0.302791,0.19659,5600.0,2025
36369,-0.27963,0.193066,5600.0,2025
23795,-0.038802,-0.92194,6800.0,2025
23795,-0.037181,-0.919479,6800.0,2025
23816,-0.049158,-0.89752,6800.0,2025
23795,-0.042182,-0.922352,6800.0,2025
23795,-0.035505,-0.925459,6800.0,2025
23715,0.011761,-0.97598,6000.0,2025
23715,0.00676,-0.978852,6000.0,2025
38173,0.045302,-0.348435,6200.0,2025
26434,-0.609137,-0.83649,5700.0,2025
26736,-0.800234,-0.765971,600.0,2003
26736,-0.798613,-0.76351,500.0,2001
34431,-0.385898,-0.096852,5560.0,2025
34431,-0.384277,-0.094392,5560.0,2025
06682,0.377072,0.014001,5560.0,2025
59929,-0.44885,-0.082211,5560.0,2025
26434,-0.60246,-0.839598,5700.0,2025
